TrialType,Condition,Modality,StairCond,Decision,DecisionRT,Confidence,ConfidenceRT,Alpha,listenBPM,responseBPM,ResponseCorrect,DecisionProvided,RatingProvided,nTrials,EstimatedThreshold,EstimatedSlope,StartListening,StartDecision,ResponseMade,RatingStart,RatingEnds,endTrigger
psi,Less,Intero,psi,More,3.8938177999999652,100,1.31811289999996,-0.5,64.5,64.0,False,True,True,0,-23.24542254487094,12.550553475165675,1677842912.8890793,1677842925.5457468,1677842929.9814475,1677842930.0576375,1677842931.8996284,1677842932.1872282
psi,Less,Intero,psi,,,,,-23.5,80.0,56.5,,False,False,1,-10.897009912607174,12.875481325119662,1677842932.7628746,1677842938.4004042,1677842943.430254,,,1677842944.0235274
psi,Less,Intero,psi,More,1.4070029999999178,78,1.171627400000034,-11.5,74.5,63.0,False,True,True,2,-19.828002166895676,12.706016683080888,1677842944.5682733,1677842950.2145975,1677842952.1749768,1677842952.2607472,1677842953.9738798,1677842954.2734437
psi,Less,Intero,psi,More,4.293651399999931,63,2.179823000000056,-19.5,71.0,51.5,False,True,True,3,-25.952173328688325,13.543728287800235,1677842954.8038957,1677842960.6475244,1677842965.5044968,1677842965.598279,1677842968.2861726,1677842968.7836518
psi,Less,Intero,psi,More,4.1208416000000625,75,1.8873925999999983,-28.5,82.5,54.0,False,True,True,4,-32.27629218700482,15.824514597404164,1677842969.3213232,1677842974.9548242,1677842979.6161299,1677842979.7138417,1677842982.115598,1677842982.589409
psi,Less,Intero,psi,,,,,-35.5,79.5,44.0,,False,False,5,-28.79042366252647,15.193894892745512,1677842983.130165,1677842988.788421,1677842993.8300686,,,1677842994.4439762
psi,Less,Extero,psi,Less,3.356787600000075,52,1.926354100000026,-0.5,48.0,47.5,True,True,True,6,22.80555049642993,12.549456998218945,1677842994.9894423,1677843001.82656,1677843005.7253315,1677843005.8290799,1677843008.273489,1677843008.8051054
psi,Less,Intero,psi,More,3.821634599999925,49,2.2004071000000067,-34.5,77.5,43.0,False,True,True,7,-33.60003270203905,16.757039148078253,1677843009.364521,1677843015.0410395,1677843019.4032433,1677843019.5139463,1677843022.220766,1677843022.8367612
psi,More,Extero,psi,More,1.7835646999999426,100,1.043666900000062,22.5,76.5,99.0,True,True,True,8,10.00188229620635,12.884901925252942,1677843023.3894792,1677843030.1748095,1677843032.515857,1677843032.6305509,1677843034.1992571,1677843034.585108
psi,More,Extero,psi,More,2.142784200000051,85,1.4726907000000438,10.5,47.5,58.0,True,True,True,9,0.99838414946872,13.044743812284148,1677843035.133327,1677843041.98817,1677843044.6810732,1677843044.805298,1677843046.7783365,1677843047.26348
psi,Less,Extero,psi,Less,3.9707910999999285,17,1.0443730000000642,-1.5,47.5,46.0,True,True,True,10,6.888851480607057,11.54155803363549,1677843047.8110266,1677843054.8635771,1677843059.391048,1677843059.5177133,1677843061.0573475,1677843061.4928756
psi,More,Extero,psi,More,2.1142979999999625,70,1.1568452999999863,6.5,49.5,56.0,True,True,True,11,2.356667538638417,11.0930110898098,1677843062.0469925,1677843069.014841,1677843071.6773348,1677843071.8104734,1677843073.4871016,1677843073.9399588
psi,Less,Intero,psi,Less,3.525561400000015,33,0.9298019999999951,-39.5,79.0,39.5,True,True,True,12,-31.39816218078473,16.160716694526236,1677843074.50929,1677843080.291739,1677843084.3651662,1677843084.5237422,1677843085.967582,1677843086.5192974
psi,Less,Intero,psi,Less,3.5161997000000156,46,2.0807547999999088,-39.5,76.5,37.0,True,True,True,13,-29.63613743791088,15.537191046767019,1677843087.1665733,1677843093.0164227,1677843097.0787878,1677843097.2553158,1677843099.8452375,1677843100.8181684
psi,Less,Intero,psi,More,2.5802221000000145,100,1.0521506999999701,-21.5,85.5,64.0,False,True,True,14,-31.235178817388636,14.94003926383877,1677843101.4684775,1677843107.2876875,1677843110.4246757,1677843110.6440916,1677843112.2415802,1677843112.8604336
psi,Less,Intero,psi,Less,2.458648100000005,100,1.041727299999934,-40.5,74.5,34.0,True,True,True,15,-29.973415960144617,14.209874081784378,1677843113.5088935,1677843119.2818408,1677843122.2877936,1677843122.4817867,1677843124.0552473,1677843124.6546054
psi,Less,Intero,psi,More,2.443941099999847,79,0.927238799999941,-21.5,74.5,53.0,False,True,True,16,-31.158623211411957,13.524110578936925,1677843125.328414,1677843131.099502,1677843134.0852215,1677843134.3114705,1677843135.7689855,1677843136.4093788
psi,More,Extero,psi,More,2.1488498999999592,80,1.084339,2.5,59.0,61.5,True,True,True,17,-1.3942565809856644,11.815977224129394,1677843137.066622,1677843144.7888234,1677843147.4892747,1677843147.7106817,1677843149.3127944,1677843149.9595792
psi,Less,Intero,psi,Less,4.692534700000124,58,1.3958121999999094,-40.5,81.0,40.5,True,True,True,18,-30.21381128062763,12.74185207368924,1677843150.6506965,1677843156.4589944,1677843161.4999287,1677843161.6495337,1677843163.5603282,1677843164.381595
psi,Less,Extero,psi,Less,4.06353850000005,43,1.18083230000002,-4.5,91.0,86.5,True,True,True,19,1.2774831750923163,9.920185083415904,1677843165.0534444,1677843173.2257648,1677843177.8475635,1677843178.0689745,1677843179.7713475,1677843180.5213397
psi,Less,Intero,psi,Less,4.303425199999992,36,1.1030104000001302,-22.5,67.0,44.5,True,True,True,20,-27.542505315088903,14.772708641328899,1677843181.178647,1677843187.0073612,1677843191.8645778,1677843192.115423,1677843193.7377782,1677843194.5226822
psi,Less,Extero,psi,Less,3.5970632999999452,45,1.4493677999998908,-3.5,55.5,52.0,True,True,True,21,2.594042696868971,8.428114259376938,1677843221.4552476,1677843227.0854948,1677843231.2377403,1677843231.2487109,1677843233.2424924,1677843233.2883718
psi,Less,Intero,psi,More,3.559949200000119,100,1.0607774999998583,-16.5,83.0,66.5,False,True,True,22,-28.368149197532677,14.17492950571059,1677843233.7551093,1677843239.310925,1677843243.4162676,1677843243.4292305,1677843245.0022607,1677843245.0521243
psi,More,Extero,psi,More,2.0303195000001324,100,1.1279767999999422,4.5,66.5,71.0,True,True,True,23,1.1817744367896241,6.947318391360248,1677843245.542703,1677843251.2582736,1677843253.8460724,1677843253.863026,1677843255.5130649,1677843255.5908577
psi,More,Extero,psi,More,2.8358135000000857,100,1.3663799999999355,3.5,63.5,67.0,True,True,True,24,0.3559173762646242,5.765894601614612,1677843256.0745609,1677843261.847945,1677843265.2247138,1677843265.2456584,1677843267.1410348,1677843267.232823
psi,Less,Extero,psi,More,2.991231199999902,38,1.2050246999999672,-1.5,73.0,71.5,False,True,True,25,-1.9897909805675849,9.829935833056297,1677843267.7118924,1677843273.5115678,1677843277.0553365,1677843277.0852578,1677843278.7900834,1677843278.8903558
psi,Less,Intero,psi,Less,3.4347084999999424,68,1.1601834999999028,-39.5,81.0,41.5,True,True,True,26,-27.640993279590624,13.567202351228135,1677843279.3787007,1677843284.954603,1677843288.9336925,1677843288.9666007,1677843290.6345444,1677843290.7412562
psi,Less,Intero,psi,More,2.160881700000118,100,0.9284657999999126,-16.5,77.0,60.5,False,True,True,27,-28.28232428749032,12.967400159698004,1677843291.227965,1677843296.8416522,1677843299.546926,1677843299.5853612,1677843301.0339956,1677843301.1466897
psi,Less,Extero,psi,Less,2.1669973999999,72,0.9670293999997739,-6.5,99.0,92.5,True,True,True,28,-0.8050014707819947,8.245333384873529,1677843301.6553757,1677843307.6168244,1677843310.3269603,1677843310.3718426,1677843311.8631592,1677843311.9818373
psi,Less,Intero,psi,Less,3.490332999999964,59,1.3393747999998595,-39.5,86.0,46.5,True,True,True,29,-27.7143971890632,12.374621959459926,1677843312.4889998,1677843318.083144,1677843322.1225545,1677843322.1674333,1677843324.023758,1677843324.2022717
psi,Less,Extero,psi,Less,3.4417883999999503,25,1.0294374000000062,-6.5,79.5,73.0,True,True,True,30,-0.15251132047786883,7.01942363450231,1677843324.7239327,1677843330.8348544,1677843334.817936,1677843334.8717945,1677843336.4128456,1677843336.5699344
psi,More,Extero,psi,More,2.1596755000000485,80,1.098471199999949,4.5,70.5,75.0,True,True,True,31,-0.5885458243297821,6.053399153248273,1677843337.1005135,1677843343.2282274,1677843345.9305618,1677843345.9804251,1677843347.5849519,1677843347.7923942
psi,Less,Extero,psi,Less,3.877232400000139,76,1.5963082999999187,-4.5,78.5,74.0,True,True,True,32,-0.1511769845545949,5.112960029971181,1677843348.2940836,1677843354.6392179,1677843359.0595713,1677843359.1243992,1677843361.2468193,1677843361.5140975
psi,More,Extero,psi,More,2.5223318000000745,74,0.783752800000002,2.5,72.0,74.5,True,True,True,33,-0.5303037161231756,4.421592053390663,1677843362.067143,1677843368.3108385,1677843371.388664,1677843371.4654531,1677843372.7563224,1677843372.93686
psi,Less,Extero,psi,Less,2.760703700000022,65,0.8290113000000474,-3.5,79.5,76.0,True,True,True,34,-0.23723987045018174,3.7762909583119737,1677843373.4704332,1677843379.7329636,1677843383.0357053,1677843383.1409383,1677843384.535829,1677843384.898849
psi,More,Extero,psi,Less,2.8093109000001277,54,2.2649304000001393,1.5,54.0,55.5,False,True,True,35,0.6442034549237298,4.976337350932441,1677843385.5929742,1677843391.9129188,1677843395.2646914,1677843395.3350127,1677843398.1138604,1677843398.546628
psi,More,Extero,psi,More,3.419326100000035,37,1.091911600000003,4.5,90.5,95.0,True,True,True,36,0.4040625823033121,4.334466702042045,1677843399.0971618,1677843405.4699826,1677843409.442991,1677843409.5247717,1677843411.1253686,1677843411.3811893
psi,Less,Extero,psi,More,3.9904145999998946,50,1.6260555999999724,-2.5,64.0,61.5,False,True,True,37,-0.4956609153847556,6.236870067019978,1677843411.9391975,1677843418.4946492,1677843423.039384,1677843423.1346354,1677843425.573985,1677843425.9828806
psi,Less,Intero,psi,More,2.229263800000126,72,1.3047214999999142,-16.5,77.0,60.5,False,True,True,38,-28.212972813369237,11.805120316251944,1677843426.5314867,1677843432.1548946,1677843434.9352078,1677843435.0274606,1677843436.851328,1677843437.1920621
psi,Less,Extero,psi,More,1.7294509999999264,81,1.5147523999999066,-6.5,93.5,87.0,False,True,True,39,-1.8611538748979828,10.345152864493345,1677843437.7465603,1677843444.3268316,1677843446.59643,1677843446.6851902,1677843448.7330499,1677843449.1556826
psi,Less,Extero,psi,Less,2.0578139000001556,76,1.577255599999944,-10.5,63.5,53.0,True,True,True,40,-1.4320971646525833,9.42925758569331,1677843449.7048056,1677843456.3930354,1677843458.9922822,1677843459.0940065,1677843461.1791697,1677843461.5985653
