TrialType,Condition,Modality,StairCond,Decision,DecisionRT,Confidence,ConfidenceRT,Alpha,listenBPM,responseBPM,ResponseCorrect,DecisionProvided,RatingProvided,nTrials,EstimatedThreshold,EstimatedSlope,StartListening,StartDecision,ResponseMade,RatingStart,RatingEnds,endTrigger
psi,Less,Extero,psi,Less,1.8839075999858323,54,2.3393500999954995,-0.5,49.5,49.0,True,True,True,44,1.5834767577726667,5.054712694694218,1677836145.5764651,1677836151.4204516,1677836153.8569694,1677836153.884894,1677836156.738639,1677836156.914172
psi,More,Intero,psi,Less,4.767479600006482,17,3.9747586000012234,2.5,54.0,56.5,False,True,True,45,16.10214368668051,19.31189521103852,1677836157.4570901,1677836163.0303195,1677836168.0675201,1677836168.0864675,1677836172.5843258,1677836172.9044738
psi,More,Intero,psi,More,1.7498306999914348,87,1.7738186999922618,29.5,55.5,85.0,True,True,True,46,15.42532211234463,19.07003716853885,1677836173.5058923,1677836179.0940444,1677836181.3809078,1677836181.4178095,1677836183.7640014,1677836183.9485075
psi,Less,Extero,psi,Less,1.6576503999822307,76,2.8809255000087433,-0.5,56.5,56.0,True,True,True,47,1.9557074123869163,4.741564651360793,1677836184.4791288,1677836190.416604,1677836192.6277742,1677836192.6676705,1677836196.0598981,1677836196.3690724
psi,More,Intero,psi,More,4.185586000006879,68,2.7923902999900747,1.5,62.5,64.0,True,True,True,48,13.45001394852867,19.87989094873317,1677836196.890152,1677836202.4708261,1677836207.20634,1677836207.2542124,1677836210.5733848,1677836210.8915358
psi,More,Intero,psi,Less,3.181836800009478,68,2.4801544999936596,0.5,50.5,51.0,False,True,True,49,14.124643645138269,19.664944966413813,1677836211.4291506,1677836217.0480416,1677836220.7692873,1677836220.835113,1677836223.9514194,1677836224.2701025
psi,More,Extero,psi,More,2.1029344999988098,72,1.9833716000139248,0.5,93.0,93.5,True,True,True,50,1.2650507755448186,5.218420743392871,1677836224.8185472,1677836230.9619403,1677836233.6144938,1677836233.673337,1677836236.1644962,1677836236.4642053
psi,More,Extero,psi,More,1.5906865999859292,69,2.9654124000226147,5.5,90.0,95.5,True,True,True,51,1.064237131775684,4.880773349414994,1677836237.04234,1677836243.287743,1677836245.4291425,1677836245.4964674,1677836248.9770658,1677836249.477729
psi,More,Extero,psi,More,1.5018390000041109,66,2.3550300000060815,5.5,94.5,100.0,True,True,True,52,0.9083593247620744,4.598432326310964,1677836250.0377536,1677836256.3062649,1677836258.357871,1677836258.436659,1677836261.54008,1677836261.9699311
psi,Less,Extero,psi,Less,2.4036238999979105,71,1.7449747000064235,-2.5,49.5,47.0,True,True,True,53,1.1044413124549277,4.328091510761111,1677836262.5453882,1677836268.8322752,1677836271.786343,1677836271.862141,1677836274.1195984,1677836274.4674108
psi,More,Intero,psi,Less,4.740100399998482,18,1.995314799976768,0.5,56.5,57.0,False,True,True,54,14.731757303935167,19.452710613255004,1677836275.048866,1677836280.6770904,1677836285.7233331,1677836285.7602348,1677836288.3318088,1677836288.7427118
psi,More,Intero,psi,More,2.003159300016705,81,2.6718674000003375,28.5,55.5,84.0,True,True,True,55,14.155021762491234,19.226452236669296,1677836289.3067346,1677836294.9405894,1677836297.4955292,1677836297.5713449,1677836300.7612503,1677836301.336712
psi,Less,Intero,psi,Less,4.475702199997613,14,1.604239200009033,-0.5,55.5,55.0,True,True,True,56,14.672948945126267,18.995201486290405,1677836301.907374,1677836307.5473287,1677836312.5579648,1677836312.6566849,1677836314.7728865,1677836315.2281792
psi,Less,Extero,psi,Less,3.081787200004328,39,2.3452428999880794,-2.5,48.5,46.0,True,True,True,57,1.2626106943623294,4.09600845078064,1677836316.0283592,1677836322.684857,1677836326.3199773,1677836326.4197133,1677836329.285448,1677836329.904688
psi,More,Intero,psi,More,2.0720744999998715,80,2.9248589999915566,29.5,56.0,85.5,True,True,True,58,14.17997519989718,18.75058792499127,1677836330.5028687,1677836336.1606686,1677836338.7832599,1677836338.890492,1677836342.3319376,1677836343.032326
psi,Less,Intero,psi,More,3.360055500001181,57,2.0726573999854736,-1.5,65.0,63.5,False,True,True,59,12.508902540609665,19.685474474503412,1677836343.6478515,1677836349.3000038,1677836353.2113013,1677836353.3275006,1677836355.910291,1677836356.4837546
