TrialType,Condition,Modality,StairCond,Decision,DecisionRT,Confidence,ConfidenceRT,Alpha,listenBPM,responseBPM,ResponseCorrect,DecisionProvided,RatingProvided,nTrials,EstimatedThreshold,EstimatedSlope,StartListening,StartDecision,ResponseMade,RatingStart,RatingEnds,endTrigger
psi,Less,Extero,psi,Less,2.6047934999805875,,,-0.5,70.5,70.0,True,True,False,0,22.80555049642993,12.549456998218945,1677838642.863397,1677838649.5197055,1677838652.6635652,1677838652.7707765,1677838658.6291425,1677838659.8372626
psi,More,Extero,psi,More,1.491009799996391,98,1.7882461000117473,22.5,78.5,101.0,True,True,True,1,10.00188229620635,12.884901925252942,1677838660.4753811,1677838667.2286005,1677838669.2588217,1677838669.362546,1677838671.6914318,1677838672.2339957
psi,More,Extero,psi,More,1.9009190000069793,79,2.3881352999887895,10.5,65.5,76.0,True,True,True,2,0.99838414946872,13.044743812284148,1677838672.880099,1677838679.6818454,1677838682.121482,1677838682.2411654,1677838685.2132826,1677838686.1378214
psi,Less,Extero,psi,More,3.0889549999847077,49,1.2389560000156052,-1.5,86.5,85.0,False,True,True,3,-8.641711703715146,15.504795651414542,1677838686.748029,1677838693.7241023,1677838697.3677828,1677838697.5902596,1677838699.399198,1677838699.8839128
psi,Less,Intero,psi,Less,3.1833065999962855,39,2.9156243999896105,-0.5,46.5,46.0,True,True,True,4,22.80555049642993,12.549456998218945,1677838700.5053854,1677838706.1803133,1677838709.913149,1677838710.0607643,1677838713.5115242,1677838714.4350615
psi,More,Intero,psi,More,1.6908436999947298,96,1.2815665999951307,22.5,48.0,70.5,True,True,True,5,10.00188229620635,12.884901925252942,1677838715.0767393,1677838720.7673085,1677838723.009644,1677838723.159273,1677838725.0256217,1677838725.5791562
psi,Less,Extero,psi,Less,1.9528776000079233,53,1.817587800003821,-13.5,72.5,59.0,True,True,True,6,-2.6129418763434966,14.59129368644147,1677838726.2036653,1677838733.8497508,1677838736.338707,1677838736.4992769,1677838738.871371,1677838739.574495
psi,More,Intero,psi,More,1.8915243000083137,59,1.8427061999973375,10.5,48.5,59.0,True,True,True,7,0.99838414946872,13.044743812284148,1677838740.2335641,1677838746.0877647,1677838748.5349321,1677838748.681542,1677838751.0509388,1677838751.7912292
psi,Less,Extero,psi,Less,2.6338261000055354,59,1.3602189000230283,-7.5,83.0,75.5,True,True,True,8,0.8593577293521456,13.680817140802155,1677838752.4690967,1677838759.7902956,1677838762.9645755,1677838763.1570249,1677838765.0462513,1677838765.650636
psi,More,Extero,psi,More,2.6832750999892596,64,1.5087009000126272,5.5,71.5,77.0,True,True,True,9,-1.8138664704797403,12.80514396926848,1677838766.310679,1677838773.7344823,1677838776.959137,1677838777.1207066,1677838779.1584704,1677838779.846194
